Accession,Number_of_N
IMS-10267-CVDP-881F6968-025C-47B2-9623-D1B4961D05F5,209
IMS-10186-CVDP-16977FB5-6F51-4CA7-810E-74C222EEDCF1,778
IMS-10186-CVDP-21E3E3AB-5354-47CF-BCB1-909020E2D28C,1066
IMS-10116-CVDP-124FC708-4543-4613-B85D-611EDF006717,121
IMS-10061-CVDP-83D743B4-60AB-457E-8356-608CA0664DFE,22
IMS-10261-CVDP-B90D3469-A2D2-40F8-B5E0-65CE379EE1D6,253
IMS-10013-CVDP-E1A4B0A7-F8E3-4993-A12C-6D641AA822A8,96
IMS-10267-CVDP-DBB18672-BBB9-432B-9771-3AF943AA8717,576
IMS-10186-CVDP-6FFBD63A-E734-4CCB-A46D-E7DC1823D1FD,277
IMS-10013-CVDP-7F29C28D-56EA-4F7B-B194-CA152792FF82,807
IMS-10227-CVDP-73BA6C11-BAD0-4AF1-87F1-F4BECE77B7D6,436
IMS-10020-CVDP-403A61D8-CE92-440E-9372-C94F75482B45,55
IMS-10341-CVDP-2E02D1AD-1DA6-4664-9738-DFEE0FD2132C,404
IMS-10186-CVDP-1BF07430-6005-4FFF-B78F-02627A7B266C,290
IMS-10267-CVDP-55943152-C0CD-41BF-B4A0-1416772D90DC,333
IMS-10087-CVDP-C8AD988F-12D3-45BB-A6D2-9815272640FC,128
IMS-10267-CVDP-4092BA46-8E20-43D1-BB63-F79ABFD54355,407
IMS-10087-CVDP-3DD6B279-486E-49FC-99F5-F7E0B9E9296A,659
IMS-10087-CVDP-21B79464-4458-4932-8F1B-E9476B98C240,359
IMS-10186-CVDP-F542F05B-4197-4779-98FD-C2BA881277DC,637
IMS-10087-CVDP-AE12C156-A667-4E85-B8AF-762FFC8E7C21,386
IMS-10116-CVDP-A99A07A7-FA16-4F84-8B54-298F1D4F4C92,460
IMS-10116-CVDP-0DA271AA-87B8-4F27-8F40-3575A9CB73FE,708
IMS-10087-CVDP-15AEDBC0-6DC9-4131-852B-F47653A151C2,1339
IMS-10061-CVDP-D99ADDC1-7ED7-489A-B36E-B1AA4263F7F5,170
IMS-10087-CVDP-0277CF56-FEF1-49A6-8832-7380E05F53B6,933
IMS-10186-CVDP-020867CF-E15C-4A72-A7EB-A10153DFA88E,875
IMS-10116-CVDP-506BF469-BA9E-400B-80D2-5954829B678C,428
IMS-10087-CVDP-A1E9FE5E-37AE-4FA9-ADC9-33918265B8B7,131
IMS-10594-CVDP-458FE014-F329-434F-A587-FE068AB1D896,597
IMS-10186-CVDP-12FB617A-07A3-4D1E-9672-E0D33B753FE5,649
IMS-10116-CVDP-CC550850-B47D-4291-BD6D-58732ED314B0,91
IMS-10341-CVDP-80798F18-54B4-4453-8666-A77197740EE7,299
IMS-10227-CVDP-A7B3EBEE-CC81-4491-8420-ED023BC892EB,69
IMS-10186-CVDP-DBC28698-F013-4D3F-912D-66DAC2A27DF0,1387
IMS-10186-CVDP-DD614179-4409-445D-9CC6-5EB35560554A,400
IMS-10116-CVDP-93D1D90E-2664-40CD-8967-611824DE500D,259
IMS-10338-CVDP-27A99DF3-FB7C-436B-85EF-BA86245DB87D,333
IMS-10186-CVDP-52C19AC1-7E5A-40AE-B532-F2F129961944,138
IMS-10267-CVDP-17B3B486-205A-4DE3-A42D-C1F613DB7A78,378
IMS-10186-CVDP-7DA60F53-B860-4ED9-8221-0137B6C1D796,19
IMS-10594-CVDP-1CC099C6-02FF-47AF-AED2-309EB1029B58,61
IMS-10227-CVDP-FD0320B2-A750-4D6F-B0DC-E766FA30B14F,1031
IMS-10594-CVDP-DB2DDC11-B7D1-40C9-89AE-4C46F7052995,2
IMS-10594-CVDP-6FE0F122-0D08-4A85-820F-6EF0511D3026,499
IMS-10116-CVDP-8B54AAD4-71E0-4242-BFBA-0AE5E54855FA,121
IMS-10116-CVDP-9BEB737F-43B0-41A6-9D0D-EF6D4E614A58,259
IMS-10013-CVDP-43DD5D43-8297-495C-81F8-B7734870FA1C,171
IMS-10087-CVDP-96F678B4-3727-4325-944F-6F42068C2975,124
IMS-10087-CVDP-F3C470F1-B523-44CE-B5D9-DC47EE200E90,810
IMS-10061-CVDP-EC50A738-2E30-417E-965A-C61969F41EB9,424
IMS-10186-CVDP-A2F0AAFD-08FD-414D-B913-62A64E74EF54,1035
IMS-10087-CVDP-8DB9EAD6-5CDE-4D7C-8EA4-90562A209F21,705
IMS-10116-CVDP-928407BC-A057-478A-81AD-DF4B632E2A60,121
IMS-10186-CVDP-816C2E89-B409-4025-BC10-B06DF1FE1D29,331
IMS-10594-CVDP-AA7ACE99-D3B6-428F-89FE-75F0D9A449F3,1
IMS-10087-CVDP-5A35D7D7-C8A1-437D-ADE2-AF0C224F1AC2,943
IMS-10087-CVDP-FD7B970C-D4E8-453A-A0E4-CE9ED295EE74,46
IMS-10267-CVDP-13A3BA8E-43FE-400F-978C-A98F782FA7E8,208
IMS-10186-CVDP-4735C143-B5AC-4BCA-8C8C-B3EB21C4FE3C,437
IMS-10186-CVDP-AD397B3C-3694-4C8A-BD26-2C42008D54CE,113
IMS-10594-CVDP-A88926E4-0BFF-45DA-88BD-95309664DC83,246
IMS-10227-CVDP-896C022D-6382-4C6B-8197-10244793BB89,101
IMS-10116-CVDP-08D0DEC5-A9F3-484E-9FF9-C95E63B6D950,667
IMS-10116-CVDP-0A26B652-3DD8-4B16-829F-7EE93762FA58,121
IMS-10087-CVDP-E7B04F22-6278-4D0C-84F1-89C493695943,1343
IMS-10087-CVDP-97536BB9-1078-4721-83FD-57EB88EF2A7A,307
IMS-10061-CVDP-84B2407F-FD47-4A58-AD72-21108BFD5531,0
IMS-10261-CVDP-60229F42-31BA-42EA-B713-2E9C545D2F52,2545
IMS-10267-CVDP-4E7F1C3F-3A5B-4F65-843C-89DB7083D5C9,205
IMS-10186-CVDP-F6249D02-B0AF-441F-AD00-ADBD47A81F8A,210
IMS-10261-CVDP-CF190263-CACF-4BF7-A767-99638F6E2E88,417
IMS-10061-CVDP-34B382D4-0CD5-451D-B652-A61B1020A90A,56
IMS-10225-CVDP-763CFB20-8B0C-4F2B-BB6E-22B3097BEDEF,426
IMS-10186-CVDP-C90A6F76-F580-44BA-8A87-026304D95B80,41
IMS-10267-CVDP-E83B2FC6-E326-4946-8A01-EFC2893DA1D9,505
IMS-10013-CVDP-296A197E-212A-4503-99A1-50C26B1391F7,20
IMS-10225-CVDP-7ECAC682-E234-4CBD-ABDD-915B92F02A4C,220
IMS-10267-CVDP-D75CB5C8-42B1-4403-A5E3-97E65CAECBE2,589
IMS-10261-CVDP-CD0F49EF-D5C6-49F0-A1E0-DA869AAA71C9,333
IMS-10267-CVDP-1343644D-316D-45CD-B5B4-2521F3843E77,767
IMS-10013-CVDP-FCC3B0F2-0216-461E-9670-9038F3954D20,87
IMS-10087-CVDP-2DD0BD0A-405D-4572-9781-1D456D4BA573,163
IMS-10116-CVDP-6775DF58-09EC-4028-AF94-E5B15E090788,398
IMS-10186-CVDP-3EF9BCDD-7E4F-4319-9383-83F884B7D367,339
IMS-10087-CVDP-29427317-8913-4607-854F-CC40D6B0B6E3,1083
IMS-10224-CVDP-EDC3E3AB-0DE2-48D1-BB60-8740024675B3,1356
IMS-10261-CVDP-FD401C44-5467-4165-AF86-B3A288909866,235
IMS-10087-CVDP-F282074E-E513-405F-92AB-27C510E824A3,459
IMS-10225-CVDP-2BE6ADFE-9EA4-4CD7-91C3-9A799CF5EFCC,379
IMS-10087-CVDP-2AB721D4-9DA4-4C17-A174-809EEA85A670,133
IMS-10186-CVDP-5A9786F9-EB24-4CA4-8E41-84FD4655AC4C,250
IMS-10061-CVDP-2747A6D1-75D6-4556-8817-215BF64D7F8F,0
IMS-10186-CVDP-D34A082E-D496-44F0-BCCA-66897A3B0D65,487
IMS-10225-CVDP-4CB65FC2-53EC-4966-A979-2802395D397D,354
IMS-10116-CVDP-EAA5927D-45AE-4554-A4D8-DDC4A68DA02E,121
IMS-10087-CVDP-34A8E275-A689-4378-A201-27A471E50E56,986
IMS-10087-CVDP-6593ABAE-8830-4E9A-9447-F7819108485A,44
IMS-10227-CVDP-84CBB017-1D2A-456A-8759-6BB7BF633C42,263
IMS-10087-CVDP-A2506782-EC0C-427E-8716-C6ED6DC6F0C1,87
IMS-10186-CVDP-8FBED21F-1A74-40AF-9586-D2A3286FA581,287
IMS-10116-CVDP-82141FEB-A135-4F0F-A917-8CB9305C498C,445
IMS-10267-CVDP-C1FD7C14-020E-43A0-A3AB-52BDE6699FE7,378
IMS-10116-CVDP-B469440D-8E50-4799-8DCA-26905E7CDC01,564
IMS-10267-CVDP-BAA38005-9790-4082-AE9C-CE4CC7D362C2,375
IMS-10261-CVDP-BF6856D1-3144-4C0E-8B68-8F67289DC224,67
IMS-10261-CVDP-C6C362FF-1DB0-46F4-A993-71C50080F23B,235
IMS-10261-CVDP-DED944A4-781A-43B2-B950-7ACB1AC18CE8,87
IMS-10227-CVDP-B7B130E3-4AAD-4C31-ACB8-F1A89B1E43EB,584
IMS-10594-CVDP-D1CB0D58-8831-4A81-81BA-B44F4BB04CB9,65
IMS-10267-CVDP-7E4817B2-6FA4-4215-982F-AE1BCC974B5F,524
IMS-10087-CVDP-D3AE6564-1F20-4077-9CD1-A0829C15A9B8,1420
IMS-10267-CVDP-ACA4DF3B-26C4-43FD-BDA8-1A1140FCF1C4,362
IMS-10087-CVDP-E67274EF-2B4E-4191-BFB7-C08D783B2F1C,462
IMS-10116-CVDP-C5B227CF-4815-4300-9735-CFCA70E48B2F,259
IMS-10116-CVDP-3D9FC721-986E-46F5-9CB8-BA5B9CAF8B97,410
IMS-10116-CVDP-72FF2633-C8CE-4C8C-A16C-2865AA2E06A0,763
IMS-10087-CVDP-BCE8C7DD-231B-4CF1-A838-0AF9F89F847B,162
IMS-10267-CVDP-B7EDF478-983D-4109-8596-C6F06B73496A,0
IMS-10061-CVDP-E1131AD4-250B-44A5-88AC-75226EDE8C08,0
IMS-10013-CVDP-DE03D156-1B3F-42D0-A0BB-DA9B25CF1CF8,34
IMS-10267-CVDP-4004DCF1-8EE1-49BC-9D56-34DA488FD40C,349
IMS-10087-CVDP-02AD500C-B6D9-44E1-A7B7-EF97881093DB,49
IMS-10267-CVDP-020125A1-DA06-4FB4-A92C-43237C8EDBE5,207
IMS-10087-CVDP-D8F98254-F111-4CD1-AFA6-7214E5101698,121
IMS-10267-CVDP-98410544-1FDB-4EA0-90F2-95AF4B7A7FB8,530
IMS-10087-CVDP-29F226B1-69B8-402D-B75F-B6857549A9B4,570
IMS-10087-CVDP-C10BFAFB-0B93-40C5-B907-1C40920A7FB4,355
IMS-10061-CVDP-0C7A7A48-91BA-45BA-9ACD-91B31EE2A3C8,293
IMS-10116-CVDP-5314AE3A-30A6-4251-B4A3-194B4D84178F,959
IMS-10186-CVDP-6281E408-F97A-48FC-8F36-6544228C935B,520
IMS-10186-CVDP-EEB9E820-82CB-4498-BAB6-BDB628037535,877
IMS-10267-CVDP-5CA8549E-6FDC-4FD2-84BC-8DB17FB882D4,215
IMS-10087-CVDP-EF6B45A3-7239-4733-AB18-A9597D4B2086,449
IMS-10227-CVDP-22D4627D-1F08-4674-859F-87370C03BB0B,59
IMS-10186-CVDP-E45A56B4-B250-4AE1-B371-5AF958B5112B,12
IMS-10186-CVDP-54092FD3-6187-4C32-8C1F-E8875CBFF6BB,320
IMS-10116-CVDP-892C1B8F-D07E-4618-8161-75215B3DEB8B,259
IMS-10225-CVDP-38840BAA-7E90-4804-8BA2-B7DE09DCAA6E,825
IMS-10186-CVDP-6EC17FDE-9D75-4D44-B073-8E8E353BF260,202
IMS-10087-CVDP-0E3C07FB-BEB4-439E-85E1-53E21F65026E,126
IMS-10245-CVDP-3502AE06-F89B-4D04-9ED0-ED6DE10625A1,665
IMS-10186-CVDP-E7676292-E780-4644-B041-BCFC08C96EEB,611
IMS-10267-CVDP-AF8E1405-A5D3-4DE6-A632-5524E599C747,218
IMS-10116-CVDP-4DCAD646-932A-4C29-B29E-BC08405FC527,255
IMS-10186-CVDP-7620F47E-F6F1-4F19-883B-1C63421DFF3D,463
IMS-10267-CVDP-14E28372-EB09-4AD6-9AAB-B1FCDE79C17E,740
IMS-10116-CVDP-5342E11D-A1F3-4776-AC5D-C24BBEEC384E,253
IMS-10087-CVDP-2BDD6EF3-8CFA-46E8-89C7-97506D68E102,695
IMS-10261-CVDP-C9AAFBD5-868F-42D1-84F8-99A3816E135D,306
IMS-10267-CVDP-BE7E79D8-0627-43BC-89AB-7EDDFA43AE35,351
IMS-10087-CVDP-611BF627-F1AA-4550-BD09-1C2C1935B84A,766
IMS-10267-CVDP-68532B9B-DCD4-4B35-BC61-EB37B84E8714,522
IMS-10267-CVDP-05894F86-99CC-4215-9589-5652F85363B0,207
IMS-10261-CVDP-07741656-EBDE-4CB4-82D7-BF7F922A0045,1206
IMS-10087-CVDP-C5D13584-0C3E-4A78-BE87-F2F2FBEC54AD,491
IMS-10013-CVDP-BDBDEFE5-D9C6-436C-8098-B9854213AE41,230
IMS-10116-CVDP-EEF2D2AA-9676-4DCD-92B7-AA8D4F5FF9BE,94
IMS-10061-CVDP-E843F90F-24AC-4032-9CAC-0F5D8CE0E772,51
IMS-10267-CVDP-A61DC616-D9FB-427A-92F3-F656DC2003F1,865
IMS-10186-CVDP-2BB53EF6-D5F8-4811-8E87-7A9EAD17E507,126
IMS-10087-CVDP-063CC4BF-21B3-4C2B-94F5-67E25AC4816B,838
IMS-10261-CVDP-93F5B3F3-32D5-45CC-BA14-8FFED38F3FA5,756
IMS-10261-CVDP-D77916D4-3A19-4F54-A2DA-2CB97C282D56,68
IMS-10116-CVDP-61E0B661-7274-4DF4-89BD-52BB247056AD,121
IMS-10116-CVDP-09D87768-7858-4714-B409-EF824F87F269,85
IMS-10186-CVDP-4B0B103F-AC5B-4FE3-ABCA-E26C5CB75A0F,697
IMS-10267-CVDP-88D5A1AB-AF80-47E4-9341-2C45A932F36B,839
IMS-10061-CVDP-57F4F146-5646-4E80-BD12-2CF58FFE9C59,220
IMS-10061-CVDP-D018E2BC-2E0B-447D-B333-352A146F9BCF,289
IMS-10261-CVDP-EBAB7589-B246-4CF7-A90F-648F1850002B,636
IMS-10087-CVDP-5D0B8339-3F76-4D21-80DF-F06661B915B3,1452
IMS-10225-CVDP-D1B41C93-356C-447F-A707-7B727DB858B2,325
IMS-10013-CVDP-3BC4DAE7-42CF-4B2E-9507-05839E0F3760,5
IMS-10087-CVDP-DDA835C0-B57F-4FB4-B287-B0B6974C8B1F,151
IMS-10186-CVDP-B6400919-EA2F-47DF-864E-43AC97F24FD8,38
IMS-10116-CVDP-EC8176F7-30D0-4F52-A88F-95ECE84BC129,121
IMS-10013-CVDP-3914099F-8EC8-4C22-9A8E-7B0C50D2FA64,34
IMS-10186-CVDP-18F43805-C487-4145-BF47-332F1DE88935,1161
IMS-10227-CVDP-3CA32FE3-FE31-4D33-A804-3E3C28B55C50,290
IMS-10267-CVDP-8C8B1612-8A5A-43B7-82E7-AD4AAC3CC687,184
IMS-10116-CVDP-1D9346BB-8F87-4F68-AE54-E0A68E46B090,121
IMS-10186-CVDP-6075C459-86E5-4DA8-AC9C-43CE1620E40B,184
IMS-10173-CVDP-00043,0
IMS-10013-CVDP-FA0F0501-C360-4D99-A24E-1E44BBF6A13A,847
IMS-10225-CVDP-749DC150-4739-45FA-B2C5-6A840F4E25C6,1175
IMS-10267-CVDP-838F2109-89CB-4294-88F2-C40A8D3B4378,571
IMS-10186-CVDP-275DAA53-A495-4164-A70D-98CB36D6ACCF,58
IMS-10116-CVDP-53FAB99B-6072-486E-B3C1-F3A464F0D6C7,787
IMS-10186-CVDP-2FFB7135-2B67-4199-B23E-FC7A6CC532B0,339
IMS-10087-CVDP-19794873-A89F-4138-92AD-222E71766402,524
IMS-10087-CVDP-CB5DA331-8287-4A16-9FF8-30EDED74242A,387
IMS-10087-CVDP-4CA58BA9-D2E0-461D-9577-CF4F1DE442DE,183
IMS-10013-CVDP-277D610B-2A4E-41E2-864B-635AACC7906E,98
IMS-10116-CVDP-521B0D14-AA3D-4FAF-96A9-22E3F5C6FBBA,338
IMS-10267-CVDP-9EF27B8B-9100-44ED-8E8D-DAC4C21FDF67,610
IMS-10267-CVDP-32AEE539-4AEF-45A2-9732-59469C64258A,396
IMS-10087-CVDP-F44B5607-D2F0-4E47-994D-2829A779ABC9,509
IMS-10267-CVDP-5CD370EA-DB04-401B-9BAD-DD2E7127A031,646
IMS-10087-CVDP-A590EF50-99B1-4A47-A989-82F2EE6767C2,322
IMS-10225-CVDP-20F71F21-8C5C-4E46-BDFC-898DB5B1E570,1396
IMS-10116-CVDP-532F0E01-11F1-4324-A80C-31EE8DB9FAFD,123
IMS-10013-CVDP-2BA9FB4F-3370-4066-A6FF-29C17D3EE3D3,445
IMS-10061-CVDP-5688F84B-BE4B-43D8-A17D-F55CA63E5627,0
IMS-10087-CVDP-9B733D2B-BADC-4B4A-A4C7-35B106B65530,534
IMS-10341-CVDP-C414AC10-06C3-4DF6-AE5B-A12150F712F6,100
IMS-10225-CVDP-A81C2966-F8DB-4968-BF49-6ABBCD0E0794,413
IMS-10186-CVDP-0B4DEAA2-922B-4FFB-BF7E-9D45FEB44D4E,198
IMS-10186-CVDP-B029AEBC-C26B-44A7-8E18-ADEA2058CF2D,457
IMS-10116-CVDP-3BBFE3E5-5FC0-4E8A-97C6-9D5D3F4E2249,154
IMS-10087-CVDP-5E20D8D7-426E-4DAA-85D9-230BC49BF81A,188
IMS-10227-CVDP-9A4F1574-94E4-4D27-86BE-550C7006CD40,0
IMS-10061-CVDP-EAD906EB-910C-4679-905C-B48EDDF54824,36
IMS-10186-CVDP-DC08668B-64D2-4C16-8703-218A9893ACB9,67
IMS-10116-CVDP-8D58B2E8-C41D-4D17-B4AB-7DFFD10B26C3,424
IMS-10245-CVDP-269CF4DC-63CC-4FDD-A00C-267A87BE200D,224
IMS-10227-CVDP-BBE7EA2C-A6EC-4119-9537-260AEBFFBC75,262
IMS-10186-CVDP-D443796C-0E62-48DF-90BC-552924F91595,532
IMS-10267-CVDP-A7A62758-7215-4DDE-951E-8B194B77B087,224
IMS-10227-CVDP-C5F1FA61-7D51-4D20-AF22-1EB0F4C13C38,11
IMS-10087-CVDP-ABC2C0C0-1770-41C7-8B90-1311AA78D64C,238
IMS-10594-CVDP-56AE768E-11DC-4712-AE99-22A88D03A9F0,85
IMS-10087-CVDP-C8D46387-154C-4F99-9378-80E1014095B6,251
IMS-10087-CVDP-C6E964C1-8137-40B1-A04F-066F653ACF9C,527
IMS-10267-CVDP-449E69C0-5AD0-46A7-BF43-9B19BA9CBA68,148
IMS-10061-CVDP-C80E0C9C-7A2E-499E-88EB-93AF79893C50,295
IMS-10267-CVDP-50B58DA1-ECCE-44D3-AA25-34B8780E2622,404
IMS-10087-CVDP-0D230E1A-6AAC-4D7D-9C34-86902DEB7FD1,186
IMS-10227-CVDP-3884341A-12F8-4651-B36E-05AC31E2C0AF,0
IMS-10594-CVDP-2B4FD4EF-B95F-4F79-949A-E4E7882C1944,6
IMS-10227-CVDP-BC1B6A94-3E67-40E3-8160-38CA068EBE4A,1
IMS-10261-CVDP-006AB468-F33E-4FEE-BFEA-FC87972E322E,360
IMS-10594-CVDP-627FBB8B-9979-4DBA-8CA8-982945DCF690,6
IMS-10116-CVDP-A279A720-4C60-4CAE-A1C1-2CEE6EEF7D44,401
IMS-10186-CVDP-40C54438-8809-4066-AFE4-96DA63620DD9,980
IMS-10594-CVDP-817B14B1-7827-41AC-9D7A-84768B5C8C2B,7
IMS-10594-CVDP-6E40F9AF-841F-402B-911E-4CD399D830AE,563
IMS-10594-CVDP-43BE6948-91F7-4F8E-A92F-4ABAA9FF5AD9,48
IMS-10227-CVDP-53BFECAF-2499-41C3-99CA-4BC2FF3048F1,352
IMS-10087-CVDP-69F72052-C3EA-4140-92B2-8CD47986A3DF,85
IMS-10116-CVDP-23EF5D47-C96F-40DD-844E-353D6045A4D5,251
IMS-10013-CVDP-FC6C0F19-1030-480B-B8A6-332B68A8ABA6,32
IMS-10087-CVDP-5EE1CCF8-1EDD-4EB1-AF41-EB07F0611A48,253
IMS-10267-CVDP-D96B98F6-042C-4D5D-9428-9C7702E7F539,692
IMS-10087-CVDP-3ECE895D-ECC6-4335-95AA-01ADCD18AE93,369
IMS-10013-CVDP-6C151684-3888-4B1B-B1E4-2DABA0D408E4,33
IMS-10116-CVDP-15FF92DE-D5BE-41B0-86B5-C9EC48C219E1,840
IMS-10087-CVDP-2270D041-AE5E-4E1A-94B6-F47A80A73C9D,125
IMS-10020-CVDP-1C719477-69DD-4F98-86AD-8B29D263A240,66
IMS-10186-CVDP-1805C56D-168E-480D-8C92-9F7742C61669,147
IMS-10087-CVDP-33AD47BD-9985-4918-9F1D-EC86C208BB72,907
IMS-10116-CVDP-DC18F776-DEC1-444D-A9C9-EB051C2C2D57,435
IMS-10116-CVDP-6ACF1B64-3EAE-4FE5-B392-F88BD6CACE3A,266
IMS-10225-CVDP-6C7E6874-6357-4930-AAC6-5FF9DC3FB65E,2402
IMS-10227-CVDP-CDDF4490-CCEA-44A9-849D-2967D1BFF169,335
IMS-10267-CVDP-21877E00-8C44-4593-80B1-8F7137EAAC66,761
IMS-10087-CVDP-6F3AE371-3254-48F0-8D2E-0FF426CD01DC,85
IMS-10087-CVDP-4FD39225-CB86-42DE-B7A4-C4A2B7F9D02A,133
IMS-10186-CVDP-5B9F13A2-DDFE-450F-B3AD-46DFC897E188,617
IMS-10061-CVDP-2192BA95-F86C-497E-A29D-097CDCF3A0A7,0
IMS-10116-CVDP-6B1711DD-6D90-4697-A8CF-6727D63D6CE5,121
IMS-10087-CVDP-40F53C50-3136-4273-BC34-BA7B86D431DC,311
IMS-10225-CVDP-890158F0-851D-4930-9B8F-368A7119338A,980
IMS-10594-CVDP-CE3EB8F9-4AC9-47E3-B311-B39C493D613D,357
IMS-10087-CVDP-20E14731-56AA-40A2-B14D-99C524870EE1,102
IMS-10116-CVDP-4EF69CF4-5C05-4443-9149-F1F8824E9996,318
IMS-10087-CVDP-5FD4FAC1-A951-4F93-B39D-CB09B9A33C4F,161
IMS-10087-CVDP-C5C10E7E-8FEC-43A9-B91E-2F6A38707E0E,464
IMS-10186-CVDP-C04AC699-DB4A-4964-8567-CDF5AEF8D1E5,733
IMS-10013-CVDP-5D949A92-AAB2-4230-9A6A-AB7B06FDFEFE,108
IMS-10061-CVDP-00278,215
IMS-10116-CVDP-8602C6B9-EE8B-4090-B4ED-297713D3201E,418
IMS-10267-CVDP-C55F4E95-4705-4C76-8839-1F8FD2266D35,850
IMS-10087-CVDP-CDEE6E94-519A-4D72-A475-05A73D991051,472
IMS-10116-CVDP-068EA686-235B-4A72-983A-3B8E1B63EF2C,740
IMS-10259-CVDP-EA7D5B61-9823-46F5-8C65-FF94779A945B,0
IMS-10261-CVDP-00014,466
IMS-10186-CVDP-DE8C2852-549C-46E2-899B-73136A5CD30B,227
IMS-10186-CVDP-36DCE567-D054-49F6-B0E3-BBC2B39B72A0,106
IMS-10087-CVDP-F2708D41-7475-4285-B804-C5378841DF1B,548
IMS-10116-CVDP-70A97D59-BF81-4D6A-8088-FDC4D97ECDB6,657
IMS-10267-CVDP-733DE733-1CFA-463C-9E4B-53B76D1BDF2F,394
IMS-10267-CVDP-3F37C4C4-BA1E-45D0-9985-9ED481249858,219
IMS-10227-CVDP-71F4BDE6-610D-4D3C-8900-989CDCA5C890,15
IMS-10225-CVDP-1AC93787-FA7E-48C3-BAE0-1078DBE4DA0F,516
IMS-10013-CVDP-1713E399-88B8-49B8-ACE1-3EFFAD4BF3BC,273
IMS-10087-CVDP-F53F3A54-4289-427C-AF18-0B35F7E52B47,298
IMS-10087-CVDP-9A7A0DFE-E067-4EFD-B538-55371F97A0ED,124
IMS-10261-CVDP-FD3F24DF-94AE-4731-86DF-19015D7CA35B,703
IMS-10227-CVDP-A748468E-F109-4100-AAA4-C37E08FF77C1,193
IMS-10227-CVDP-A22B6406-ED00-49BA-B901-07918BDB9711,162
IMS-10087-CVDP-E6DE81C5-E9C8-471A-9F39-B888DDEE3394,379
IMS-10186-CVDP-EE8F6FCD-8E28-4F44-AE95-7FF09314D668,979
IMS-10267-CVDP-7752C33A-0B33-44EC-8A1E-14856671001A,450
IMS-10225-CVDP-7E6E8EBB-18A2-4A6C-AC29-F8E3265EBF3B,416
IMS-10087-CVDP-5C39607C-8C7A-4C9D-A703-B4A5A45BAA97,983
IMS-10116-CVDP-9B8E4F7A-C4DF-48ED-82BB-E9F02C1E0CB3,259
IMS-10116-CVDP-1D513FD5-09E9-450E-AE55-AC04A3DBE676,121
IMS-10116-CVDP-C31169C1-7DD1-4CDA-B856-D39AD864D98D,416
IMS-10267-CVDP-B5328332-3835-4063-AEFF-F5F6EA0A2670,219
IMS-10087-CVDP-F8342710-0C9A-4043-A77B-62754B68866D,543
IMS-10186-CVDP-2100C99C-B1FA-4294-8656-5F1AD49DF7DB,59
IMS-10267-CVDP-C6E9329F-73D8-45A5-A052-28920EB42ABD,667
IMS-10116-CVDP-0042CB2F-8D64-478E-85C4-35A6117AD2D5,811
IMS-10087-CVDP-444CDD4B-C031-4D8B-8352-BC4DD7E96146,575
IMS-10186-CVDP-AD9BCEF0-B219-417B-876A-44DF34A9D4D2,573
IMS-10116-CVDP-4C64880E-B66F-4A3C-B8E1-1891FEE6026D,1280
IMS-10227-CVDP-93171D5F-256D-4B08-8C70-D9E47E3385AA,0
IMS-10013-CVDP-730C0F6A-D57C-4237-8546-9A4D6ADC154F,11
IMS-10267-CVDP-5BA417DC-B56D-4E82-BC07-35C2A210DFA5,490
IMS-10116-CVDP-798A62EC-5761-4A22-84A7-3AE50816917A,259
IMS-10186-CVDP-52A90418-444B-4B85-822B-0F9DAA3095DE,71
IMS-10087-CVDP-0EEADE3A-2E4C-4F46-9417-4D7534A6BCEA,315
IMS-10013-CVDP-025C0368-A2FE-4B81-8EEE-0C4996CBF1BD,107
IMS-10087-CVDP-19D014FC-9E9C-4737-A8A0-42522DCC4BFB,430
IMS-10087-CVDP-C01EFA53-E24A-4769-8119-96D8FA213C68,117
IMS-10116-CVDP-9DE1562B-08C5-4298-AB5B-237893DCA035,215
IMS-10186-CVDP-7900A186-3AB0-4D89-9758-60E47D25D299,149
IMS-10267-CVDP-07955110-3D07-4E7E-8F8E-2830C2FFFAEA,398
IMS-10227-CVDP-52D25D5C-2FB7-4D4D-A169-F8E65E27D5AD,15
IMS-10116-CVDP-75EADB27-8275-4CA5-9098-AF80540C2BD3,253
IMS-10061-CVDP-BCA1A364-1A27-4495-9273-CFE9C7C44305,17
IMS-10186-CVDP-A4BCBA24-2032-4D76-9A23-54880A988808,534
IMS-10186-CVDP-5261DDBF-0317-464E-9289-8E35F27A8331,390
IMS-10594-CVDP-C010BEBB-AD2C-4222-BBC3-62FB4683F61E,2
IMS-10116-CVDP-37CA5A6E-FEC1-4649-A941-B6B9340767E9,259
IMS-10267-CVDP-4282E7B4-C4E2-47D5-820B-A63A16CBBE2F,588
IMS-10261-CVDP-46686CFB-B364-4C0B-9D7E-44642EECF5ED,370
IMS-10061-CVDP-67357240-24D8-4ED6-A5E4-EDF0177EECC7,259
IMS-10594-CVDP-4169B4B7-23F5-4B1F-93B7-ABC1AABA5BE1,2
IMS-10061-CVDP-85168CCA-FF9A-457A-ACCA-2957B1AB261A,13
IMS-10227-CVDP-32203CA0-6EA4-439C-8711-FB9680A53BCE,207
IMS-10087-CVDP-9C0D7D94-BD74-4160-A030-19AC788F125B,772
IMS-10227-CVDP-C4376270-EA33-4E0C-8990-7DEEACB1341F,30
IMS-10087-CVDP-4E2D4063-BBBE-4EE8-A25A-8858DD73858E,595
